sent_index,sent_txt,pos_seq,metaphor_seq,genre,sent_txt_tokenized
academic_01_v.4.txt_0001,第一节肥胖的病因及发病机理,"['m', 'q', 'a', 'u', 'n', 'c', 'vn', 'n']","[0, 1, 0, 0, 0, 0, 0, 1]",Academic,"['第一', '节', '肥胖', '的', '病因', '及', '发病', '机理']"
academic_01_v.4.txt_0002,人类肥胖的病因迄今尚未阐明，有若干因素需要考虑，如遗传、神经系统、饮食生活习惯、代谢紊乱。,"['n', 'a', 'u', 'n', 'd', 'd', 'v', 'w', 'v', 'r', 'n', 'v', 'v', 'w', 'v', 'vn', 'w', 'l', 'w', 'n', 'n', 'n', 'w', 'v', 'an', 'ew']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Academic,"['人类', '肥胖', '的', '病因', '迄今', '尚未', '阐明', '，', '有', '若干', '因素', '需要', '考虑', '，', '如', '遗传', '、', '神经系统', '、', '饮食', '生活', '习惯', '、', '代谢', '紊乱', '。']"
academic_01_v.4.txt_0003,特别是能量供需失调，以及内分泌调节功能失常等。,"['d', 'v', 'n', 'n', 'vn', 'w', 'c', 'n', 'vn', 'n', 'a', 'u', 'ew']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Academic,"['特别', '是', '能量', '供需', '失调', '，', '以及', '内分泌', '调节', '功能', '失常', '等', '。']"
academic_01_v.4.txt_0004,具体发病机制是一致的，即饮食能量入量多于机体消耗量，形成过剩，过剩的能量以脂肪形式储存于机体，脂肪组织增多，形成肥胖。,"['a', 'vn', 'n', 'v', 'a', 'u', 'w', 'v', 'n', 'n', 'v', 'n', 'v', 'n', 'n', 'w', 'v', 'vn', 'w', 'v', 'u', 'n', 'p', 'n', 'n', 'v', 'p', 'n', 'w', 'n', 'n', 'v', 'w', 'v', 'an', 'ew']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",Academic,"['具体', '发病', '机制', '是', '一致', '的', '，', '即', '饮食', '能量', '入', '量', '多于', '机体', '消耗量', '，', '形成', '过剩', '，', '过剩', '的', '能量', '以', '脂肪', '形式', '储存', '于', '机体', '，', '脂肪', '组织', '增多', '，', '形成', '肥胖', '。']"
academic_01_v.4.txt_0005,一、遗传因素,"['m', 'w', 'vn', 'n']","[0, 0, 0, 0]",Academic,"['一', '、', '遗传', '因素']"
academic_01_v.4.txt_0006,肥胖常与遗传有关。,"['an', 'd', 'p', 'vn', 'v', 'ew']","[0, 0, 0, 0, 0, 0]",Academic,"['肥胖', '常', '与', '遗传', '有关', '。']"
academic_01_v.4.txt_0007,据统计，双亲体重正常其子女肥胖发生率为１０％；,"['p', 'vn', 'w', 'n', 'n', 'a', 'r', 'n', 'an', 'n', 'v', 'm', 'ew']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Academic,"['据', '统计', '，', '双亲', '体重', '正常', '其', '子女', '肥胖', '发生率', '为', '１０％', '；']"
academic_01_v.4.txt_0008,双亲中一人肥胖，子女肥胖发病率为５０％；,"['n', 'f', 'm', 'n', 'a', 'w', 'n', 'an', 'n', 'v', 'm', 'ew']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Academic,"['双亲', '中', '一', '人', '肥胖', '，', '子女', '肥胖', '发病率', '为', '５０％', '；']"
academic_01_v.4.txt_0009,双亲均肥胖，子女肥胖发病率高达７０％。,"['n', 'd', 'a', 'w', 'n', 'an', 'n', 'ad', 'v', 'm', 'ew']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",Academic,"['双亲', '均', '肥胖', '，', '子女', '肥胖', '发病率', '高', '达', '７０％', '。']"
academic_01_v.4.txt_0010,同卵孪生儿在同一环境成长，其体重近似；,"['a', 'n', 'b', 'k', 'p', 'b', 'n', 'v', 'w', 'r', 'n', 'a', 'ew']","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",Academic,"['同', '卵', '孪生', '儿', '在', '同一', '环境', '成长', '，', '其', '体重', '近似', '；']"
