sent_index,sent_txt,pos_seq,metaphor_seq,genre
a1k-fragment02_41,Ca n't fail to be entertaining .,"['VERB', 'ADV', 'VERB', 'PART', 'VERB', 'ADJ', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0]",news
cdb-fragment04_907,How much was he going to tell her ?,"['ADV', 'ADJ', 'VERB', 'PRON', 'VERB', 'PART', 'VERB', 'PRON', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",fiction
ac2-fragment06_1520,"Up until that news hit the Committee , Don had won the day with his UK Vehicle Division proposals .","['ADP', 'ADP', 'DET', 'NOUN', 'VERB', 'DET', 'PROPN', 'PUNCT', 'PROPN', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'ADJ', 'PROPN', 'PROPN', 'PROPN', 'NOUN', 'PUNCT']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",fiction
kbc-fragment13_5871,Could go on to the rugby and go with them could n't he ?,"['VERB', 'VERB', 'PART', 'ADP', 'DET', 'NOUN', 'CCONJ', 'VERB', 'ADP', 'PRON', 'VERB', 'ADV', 'PRON', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",conversation
ahb-fragment51_734,"Finally , we went to the office and they gave us a cheque , which bounced .","['ADV', 'PUNCT', 'PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'CCONJ', 'PRON', 'VERB', 'PRON', 'DET', 'NOUN', 'PUNCT', 'ADJ', 'VERB', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0]",news
acj-fragment01_98,"It must be shown that the defendant intended ( which , again , includes both purpose and awareness of practical certainty ) to cause really serious injury to someone .","['PRON', 'VERB', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT', 'ADJ', 'PUNCT', 'ADV', 'PUNCT', 'VERB', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'PART', 'VERB', 'ADV', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",academic
ac2-fragment06_1508,The Englishman nodded and poured himself more coffee .,"['DET', 'PROPN', 'VERB', 'CCONJ', 'VERB', 'PRON', 'ADJ', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",fiction
ccw-fragment03_1603,I demanded .,"['PRON', 'VERB', 'PUNCT']","[0, 0, 0]",fiction
b1g-fragment02_1243,"What is not known is information on the locations of former sites , at which quite toxic materials may have been dumped , though recent work by Egger ( 1989 ) in Austria has mapped a vast number of such sites .","['NOUN', 'VERB', 'ADV', 'VERB', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'ADP', 'ADJ', 'ADV', 'ADJ', 'NOUN', 'VERB', 'VERB', 'VERB', 'VERB', 'PUNCT', 'ADP', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'ADP', 'PROPN', 'VERB', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",academic
kbd-fragment07_2466,That 's getting in the,"['DET', 'VERB', 'VERB', 'ADP', 'DET']","[1, 0, 0, 0, 0]",conversation
fet-fragment01_20,He had trouble finding an appropriate language for the painter 's obsession with the illuminated material world .,"['PRON', 'VERB', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PART', 'NOUN', 'ADP', 'DET', 'VERB', 'NOUN', 'NOUN', 'PUNCT']","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]",fiction
bpa-fragment14_2187,"And yet he 'd disappeared , without trace .","['CCONJ', 'ADV', 'PRON', 'VERB', 'VERB', 'PUNCT', 'ADP', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 0, 0, 1, 0, 0]",fiction
kbw-fragment04_2395,Why did n't you want to buy the same one again mum ?,"['ADV', 'VERB', 'ADV', 'PRON', 'VERB', 'PART', 'VERB', 'DET', 'ADJ', 'NUM', 'ADV', 'ADJ', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",conversation
c8t-fragment01_17,"It was a substantial , two-storey , L-shaped house standing to the east of the track with walls partly flint and partly rendered , enclosing at the rear a courtyard of York stone which gave an uninterrupted view over fifty yards of scrub to the grassy dunes and the sea .","['PRON', 'VERB', 'DET', 'ADJ', 'PUNCT', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADV', 'VERB', 'CCONJ', 'ADV', 'VERB', 'PUNCT', 'VERB', 'ADP', 'DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'ADJ', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'NUM', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'CCONJ', 'DET', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",fiction
a2d-fragment05_34,"Now , however , it seems , the wheel has turned full circle .","['ADV', 'PUNCT', 'ADV', 'PUNCT', 'PRON', 'VERB', 'PUNCT', 'DET', 'NOUN', 'VERB', 'VERB', 'ADJ', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",news
kbd-fragment07_2711,"They 've been to his little boy 's primary school , interviewed the teachers and headmistress and all the school friends and everything just trying to get a dirty story .","['PRON', 'VERB', 'VERB', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'PART', 'ADJ', 'NOUN', 'PUNCT', 'VERB', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'CCONJ', 'ADJ', 'DET', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'ADV', 'VERB', 'PART', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",conversation
kcv-fragment42_4641,Isobel wants,"['PROPN', 'VERB']","[0, 0]",conversation
cdb-fragment02_361,They were expensive to buy and came a day late .,"['PRON', 'VERB', 'ADJ', 'PART', 'VERB', 'CCONJ', 'VERB', 'DET', 'NOUN', 'ADV', 'PUNCT']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",fiction
ahf-fragment63_1226,"Sir David English was not informed of the visit and in consequence had no plans to attend the Ideal Home Exhibition that day , the official statement announced .","['PROPN', 'PROPN', 'PROPN', 'VERB', 'ADV', 'VERB', 'ADP', 'DET', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'VERB', 'DET', 'NOUN', 'PART', 'VERB', 'DET', 'PROPN', 'PROPN', 'NOUN', 'DET', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'VERB', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",news
amm-fragment02_1664,"The outline of the soft parts are also clearly displayed , so that the animal has been preserved almost in frozen motion .","['DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'VERB', 'ADV', 'ADV', 'VERB', 'PUNCT', 'ADP', 'ADP', 'DET', 'NOUN', 'VERB', 'VERB', 'VERB', 'ADV', 'ADP', 'ADJ', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",academic
