sent_index,sent_txt,pos_seq,metaphor_seq,genre,sent_txt_tokenized,sent_bert_tokens,sent_txt_tokenized_bert,BIO_seq,split
fiction_13_v.4.txt_0029,一时激动，嗓门儿就高了些......＂,"['t', 'a', 'w', 'n', 'k', 'd', 'a', 'u', 'q', 'w', 'w', 'w']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",Fiction,"['一时', '激动', '，', '嗓门', '儿', '就', '高', '了', '些', '...', '...', '＂']","['一', '时', '激', '动', '，', '嗓', '门', '儿', '就', '高', '了', '些', '.', '.', '.', '.', '.', '.', '＂']","[['一', '时'], ['激', '动'], ['，'], ['嗓', '门'], ['儿'], ['就'], ['高'], ['了'], ['些'], ['.', '.', '.'], ['.', '.', '.'], ['＂']]","[['O', 'O'], ['O', 'O'], ['O'], ['O', 'O'], ['O'], ['O'], ['B'], ['O'], ['O'], ['O', 'O', 'O'], ['O', 'O', 'O'], ['O']]",train
fiction_03_v.4.txt_0068,看来他要被磨光了，彭玉泽想。,"['v', 'r', 'v', 'p', 'v', 'u', 'w', 'nr', 'nr', 'v', 'ew']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Fiction,"['看来', '他', '要', '被', '磨光', '了', '，', '彭', '玉泽', '想', '。']","['看', '来', '他', '要', '被', '磨', '光', '了', '，', '彭', '玉', '泽', '想', '。']","[['看', '来'], ['他'], ['要'], ['被'], ['磨', '光'], ['了'], ['，'], ['彭'], ['玉', '泽'], ['想'], ['。']]","[['O', 'O'], ['O'], ['O'], ['O'], ['B', 'I'], ['O'], ['O'], ['O'], ['O', 'O'], ['O'], ['O']]",train
fiction_06_v.4.txt_0069,她们说他是来收购二种墨绿色的小玻璃瓶的，没想到把小萼也一起收购走了。,"['r', 'v', 'r', 'v', 'v', 'v', 'm', 'q', 'n', 'u', 'a', 'n', 'u', 'w', 'd', 'v', 'p', 'nr', 'd', 'd', 'v', 'v', 'u', 'ew']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",Fiction,"['她们', '说', '他', '是', '来', '收购', '二', '种', '墨绿色', '的', '小', '玻璃瓶', '的', '，', '没', '想到', '把', '小萼', '也', '一起', '收购', '走', '了', '。']","['她', '们', '说', '他', '是', '来', '收', '购', '二', '种', '墨', '绿', '色', '的', '小', '玻', '璃', '瓶', '的', '，', '没', '想', '到', '把', '小', '萼', '也', '一', '起', '收', '购', '走', '了', '。']","[['她', '们'], ['说'], ['他'], ['是'], ['来'], ['收', '购'], ['二'], ['种'], ['墨', '绿', '色'], ['的'], ['小'], ['玻', '璃', '瓶'], ['的'], ['，'], ['没'], ['想', '到'], ['把'], ['小', '萼'], ['也'], ['一', '起'], ['收', '购'], ['走'], ['了'], ['。']]","[['O', 'O'], ['O'], ['O'], ['O'], ['O'], ['O', 'O'], ['O'], ['O'], ['O', 'O', 'O'], ['O'], ['O'], ['O', 'O', 'O'], ['O'], ['O'], ['O'], ['O', 'O'], ['O'], ['O', 'O'], ['O'], ['O', 'O'], ['B', 'I'], ['O'], ['O'], ['O']]",train
fiction_15_v.4.txt_0112,姑娘的父亲说，彩礼要一辆大马车......,"['n', 'u', 'n', 'v', 'w', 'n', 'v', 'm', 'q', 'a', 'n', 'w', 'w']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fiction,"['姑娘', '的', '父亲', '说', '，', '彩礼', '要', '一', '辆', '大', '马车', '...', '...']","['姑', '娘', '的', '父', '亲', '说', '，', '彩', '礼', '要', '一', '辆', '大', '马', '车', '.', '.', '.', '.', '.', '.']","[['姑', '娘'], ['的'], ['父', '亲'], ['说'], ['，'], ['彩', '礼'], ['要'], ['一'], ['辆'], ['大'], ['马', '车'], ['.', '.', '.'], ['.', '.', '.']]","[['O', 'O'], ['O'], ['O', 'O'], ['O'], ['O'], ['O', 'O'], ['O'], ['O'], ['O'], ['O'], ['O', 'O'], ['O', 'O', 'O'], ['O', 'O', 'O']]",train
fiction_03_v.4.txt_0072,是。,"['v', 'ew']","[0, 0]",Fiction,"['是', '。']","['是', '。']","[['是'], ['。']]","[['O'], ['O']]",train
fiction_17_v.4.txt_0035,张宽其不承认自己是这个东洋小姐的部下，他虽已离开军界，即还保留着陆军少将的虚衔，哪肯俯首向一个年轻女流之辈屈就？,"['nr', 'nr', 'd', 'v', 'r', 'v', 'r', 'n', 'n', 'u', 'n', 'w', 'r', 'c', 'd', 'v', 'n', 'w', 'd', 'd', 'v', 'u', 'n', 'n', 'u', 'a', 'n', 'w', 'r', 'v', 'v', 'p', 'm', 'a', 'n', 'u', 'n', 'v', 'ew']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",Fiction,"['张', '宽其', '不', '承认', '自己', '是', '这个', '东洋', '小姐', '的', '部下', '，', '他', '虽', '已', '离开', '军界', '，', '即', '还', '保留', '着', '陆军', '少将', '的', '虚', '衔', '，', '哪', '肯', '俯首', '向', '一个', '年轻', '女流', '之', '辈', '屈就', '？']","['张', '宽', '其', '不', '承', '认', '自', '己', '是', '这', '个', '东', '洋', '小', '姐', '的', '部', '下', '，', '他', '虽', '已', '离', '开', '军', '界', '，', '即', '还', '保', '留', '着', '陆', '军', '少', '将', '的', '虚', '衔', '，', '哪', '肯', '俯', '首', '向', '一', '个', '年', '轻', '女', '流', '之', '辈', '屈', '就', '？']","[['张'], ['宽', '其'], ['不'], ['承', '认'], ['自', '己'], ['是'], ['这', '个'], ['东', '洋'], ['小', '姐'], ['的'], ['部', '下'], ['，'], ['他'], ['虽'], ['已'], ['离', '开'], ['军', '界'], ['，'], ['即'], ['还'], ['保', '留'], ['着'], ['陆', '军'], ['少', '将'], ['的'], ['虚'], ['衔'], ['，'], ['哪'], ['肯'], ['俯', '首'], ['向'], ['一', '个'], ['年', '轻'], ['女', '流'], ['之'], ['辈'], ['屈', '就'], ['？']]","[['O'], ['O', 'O'], ['O'], ['O', 'O'], ['O', 'O'], ['O'], ['O', 'O'], ['O', 'O'], ['O', 'O'], ['O'], ['O', 'O'], ['O'], ['O'], ['O'], ['O'], ['B', 'I'], ['O', 'O'], ['O'], ['O'], ['O'], ['B', 'I'], ['O'], ['O', 'O'], ['O', 'O'], ['O'], ['B'], ['O'], ['O'], ['O'], ['O'], ['B', 'I'], ['O'], ['O', 'O'], ['O', 'O'], ['O', 'O'], ['O'], ['O'], ['O', 'O'], ['O']]",train
fiction_11_v.4.txt_0105,沙新忙不迭扭转身上车。,"['nr', 'nr', 'd', 'v', 'n', 'v', 'ew']","[0, 0, 0, 0, 0, 0, 0]",Fiction,"['沙', '新', '忙不迭', '扭转', '身', '上车', '。']","['沙', '新', '忙', '不', '迭', '扭', '转', '身', '上', '车', '。']","[['沙'], ['新'], ['忙', '不', '迭'], ['扭', '转'], ['身'], ['上', '车'], ['。']]","[['O'], ['O'], ['O', 'O', 'O'], ['O', 'O'], ['O'], ['O', 'O'], ['O']]",train
fiction_17_v.4.txt_0039,这会儿看着梅小姐，犹如一个馋嘴的饱汉面对着佳肴，虽然口涎直淌却吃不下去。,"['r', 'v', 'u', 'nr', 'n', 'w', 'v', 'm', 'a', 'u', 'a', 'ng', 'v', 'u', 'n', 'w', 'c', 'n', 'd', 'v', 'd', 'v', 'd', 'v', 'ew']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0]",Fiction,"['这会儿', '看', '着', '梅', '小姐', '，', '犹如', '一个', '馋嘴', '的', '饱', '汉', '面对', '着', '佳肴', '，', '虽然', '口涎', '直', '淌', '却', '吃', '不', '下去', '。']","['这', '会', '儿', '看', '着', '梅', '小', '姐', '，', '犹', '如', '一', '个', '馋', '嘴', '的', '饱', '汉', '面', '对', '着', '佳', '肴', '，', '虽', '然', '口', '涎', '直', '淌', '却', '吃', '不', '下', '去', '。']","[['这', '会', '儿'], ['看'], ['着'], ['梅'], ['小', '姐'], ['，'], ['犹', '如'], ['一', '个'], ['馋', '嘴'], ['的'], ['饱'], ['汉'], ['面', '对'], ['着'], ['佳', '肴'], ['，'], ['虽', '然'], ['口', '涎'], ['直'], ['淌'], ['却'], ['吃'], ['不'], ['下', '去'], ['。']]","[['O', 'O', 'O'], ['O'], ['O'], ['O'], ['O', 'O'], ['O'], ['O', 'O'], ['O', 'O'], ['B', 'I'], ['O'], ['B'], ['B'], ['B', 'I'], ['O'], ['B', 'I'], ['O'], ['O', 'O'], ['B', 'I'], ['O'], ['B'], ['O'], ['B'], ['O'], ['B', 'I'], ['O']]",train
news_25_v.4.txt_0021,在共产党的领导下。,"['p', 'n', 'u', 'vn', 'f', 'ew']","[1, 0, 0, 0, 1, 0]",News,"['在', '共产党', '的', '领导', '下', '。']","['在', '共', '产', '党', '的', '领', '导', '下', '。']","[['在'], ['共', '产', '党'], ['的'], ['领', '导'], ['下'], ['。']]","[['B'], ['O', 'O', 'O'], ['O'], ['O', 'O'], ['B'], ['O']]",train
fiction_13_v.4.txt_0045,过几天，我到你们学校去。,"['v', 'm', 'q', 'w', 'r', 'v', 'r', 'n', 'v', 'ew']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fiction,"['过', '几', '天', '，', '我', '到', '你们', '学校', '去', '。']","['过', '几', '天', '，', '我', '到', '你', '们', '学', '校', '去', '。']","[['过'], ['几'], ['天'], ['，'], ['我'], ['到'], ['你', '们'], ['学', '校'], ['去'], ['。']]","[['B'], ['O'], ['O'], ['O'], ['O'], ['O'], ['O', 'O'], ['O', 'O'], ['O'], ['O']]",train
